governorate_ar,constituency_ar,delegation_ar,imada_ar,centre_name_ar,centre_name_fr,ussd_code,governorate,source_page
القريوان,القريوان,بوحجلة,ر الشايطية الشمالية,ر م إبتدائية الفوز الحدايدية - الشايطية الشمالية,E.P.FAOUZ HEDAIDIA - CHRAYTIA NORD,3092,القيروان,40
القريوان,القريوان,بوحجلة,ر الشايطية الشمالية,ر م إبتدائية بي الجديد - الشايطية الشمالية,E.P.BIR DJEDID CHRAITIA NORD,3093,القيروان,40
القريوان,القريوان,بوحجلة,ر الشايطية الشمالية,رر م إبتدائية بي الشفاء - الشايطية الشمالية,E.P.BIR CHORFA - CHRAYTIA NORD,3094,القيروان,40
القريوان,القريوان,بوحجلة,الشوامخ,م إبتدائية هنشري طراد - الشوامخ,E.P.HENCHIR TRAD CHOUAMEKH,3095,القيروان,40
القريوان,القريوان,بوحجلة,الفتح,م إبتدائية الفتح سيدي عمر,E.P.EL FATH SIDI AMOR,3096,القيروان,40
القريوان,القريوان,بوحجلة,الفتح,م إبتدائية ذراع مريرة - الفتح,E.P.DHRAA MRIRA - EL FATAH,3097,القيروان,40
القريوان,القريوان,بوحجلة,الفتح,م إبتدائية فرق الصيودة - الفتح,E.P.FARIK ESSIOUDA - EL FATAH,3098,القيروان,40
القريوان,القريوان,بوحجلة,القطيطري,م إبتدائية اللبية - القطيطري,E.P.EL LIBBIA  - EL KATATIR,3099,القيروان,40
القريوان,القريوان,بوحجلة,المويسات,م إبتدائية أولاد فرح - المويسات,E.P.OULED FARH,3100,القيروان,40
القريوان,القريوان,بوحجلة,المويسات,م إبتدائية أولاد مبارك - المويسات,E.P.AOULED MEBAREK,3101,القيروان,40
القريوان,القريوان,بوحجلة,المويسات,م إبتدائية خلوة المويسات,E.P.KHALOUET EL MOUISSET,3102,القيروان,40
القريوان,القريوان,بوحجلة,النض,م إبتدائية القصعات - النض,E.P.EL GASSAAT ETTAFAWEK -ENNASR,3103,القيروان,40
القريوان,القريوان,بوحجلة,النض,م إبتدائية أولاد بوحوش - النض,E.P.OULED BOUHOUCH -ENNASR,3104,القيروان,40
القيوان ر,القيوان ر,بوحجلة,النض,م إبتدائية أولاد نصي - النض ر,E.P.OULED NSIR -ENNASR,3105,القيروان,40
القيوان ر,القيوان ر,بوحجلة,أولاد عاشور,م إبتدائية أولاد عاشور,E.P.OULED ACHOUR,3106,القيروان,40
القيوان ر,القيوان ر,بوحجلة,أولاد عاشور,م إبتدائية بي عل بن عمارة - أولاد عاشور,E.P.BIR ALI BEN AMARA -OULED ACHOUR,3107,القيروان,40
