round,centre,rank,rank_check,candidate,candidate_full,votes,share_pct,share_check,centre_valid_votes
r2,قابس,1,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,94961,79.83,recomputed,118954
r2,قابس,2,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,23993,20.17,recomputed,118954
r2,مدنين,1,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,101436,81.08,recomputed,125099
r2,مدنين,2,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,23663,18.92,recomputed,125099
r2,تطاوين,1,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,32040,88.89,recomputed,36046
r2,تطاوين,2,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,4006,11.11,recomputed,36046
r2,قبلي,1,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,50974,85.84,recomputed,59382
r2,قبلي,2,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,8408,14.16,recomputed,59382
r2,فرنسا 1,1,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,18439,50.86,recomputed,36252
r2,فرنسا 1,2,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,17813,49.14,recomputed,36252
r2,فرنسا 2,1,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,16185,56.1,recomputed,28848
r2,فرنسا 2,2,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,12663,43.9,recomputed,28848
r2,إيطاليا,1,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,3634,61.29,recomputed,5929
r2,إيطاليا,2,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,2295,38.71,recomputed,5929
r2,ألمانيا,1,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,3564,57.96,recomputed,6149
r2,ألمانيا,2,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,2585,42.04,recomputed,6149
r2,القارة الأمريكية وبقية الدول الأوروبية,1,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,7016,50.44,recomputed,13910
r2,القارة الأمريكية وبقية الدول الأوروبية,2,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,6894,49.56,recomputed,13910
r2,الدول العربية وباقي دول العالم,1,,محمد المنصف بن محمد بن أحمد المرزوقي,محمد المنصف بن محمد بن أحمد المرزوقي,6497,56.26,recomputed,11549
r2,الدول العربية وباقي دول العالم,2,,محمد الباجي بن حسونة قايد السبسي,محمد الباجي بن حسونة قايد السبسي,5052,43.74,recomputed,11549
