adm4_pcode,governorate_name,delegation_name,imada_name,n_stations,n_read,read_pct,stations_with_any,any_pct,any_lo_pct,any_hi_pct,representatives,reps_per_100_stations,reps_saied,reps_zammel,reps_maghzaoui,stations_with_saied,stations_with_zammel,stations_with_maghzaoui,stations_with_saied_pct,stations_with_zammel_pct,stations_with_maghzaoui_pct,unattributed
TN116551,Tunis,El Ouardia,El Ouardia,13,5,38.5,1,20.0,3.6,62.4,1,20.0,0,0,1,0,0,1,0.0,0.0,20.0,0
TN116552,Tunis,El Ouardia,Bou-Gatfa,4,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116553,Tunis,El Ouardia,Tahar Sfar,1,1,100.0,0,0.0,0.0,79.3,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
TN116554,Tunis,El Ouardia,Cite El Izdihar,4,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116555,Tunis,El Ouardia,Cite Mohamed Ali,5,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116556,Tunis,El Ouardia,Sidi Belhassen,3,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116651,Tunis,Kabaria,El Kabaria (1),6,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116652,Tunis,Kabaria,El Kabaria (2),4,2,50.0,0,0.0,0.0,65.8,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
TN116653,Tunis,Kabaria,El Kabaria (3),5,1,20.0,1,100.0,20.7,100.0,1,100.0,1,0,0,1,0,0,100.0,0.0,0.0,0
TN116654,Tunis,Kabaria,El Kabaria (4),5,3,60.0,2,66.7,20.8,93.9,2,66.7,2,0,0,2,0,0,66.7,0.0,0.0,0
TN116655,Tunis,Kabaria,Cite Ennour,5,1,20.0,0,0.0,0.0,79.3,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
TN116656,Tunis,Kabaria,Ibn Sina 1,6,2,33.3,1,50.0,9.5,90.5,1,50.0,1,0,0,1,0,0,50.0,0.0,0.0,0
TN116657,Tunis,Kabaria,Ibn Sina 2,9,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116658,Tunis,Kabaria,El Mourouj (2),10,2,20.0,0,0.0,0.0,65.8,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
TN116751,Tunis,Sidi El Béchir,Sidi El Bechir,2,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116752,Tunis,Sidi El Béchir,Sidi Mansour,1,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116753,Tunis,Sidi El Béchir,Maakel Ezzaim,1,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116754,Tunis,Sidi El Béchir,Farhat Hached,7,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116755,Tunis,Sidi El Béchir,Abulkacem Ech-Chebbi,5,1,20.0,0,0.0,0.0,79.3,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
TN116756,Tunis,Sidi El Béchir,Saida Manoubia,4,1,25.0,0,0.0,0.0,79.3,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
TN116851,Tunis,Jebel Jelloud,Sidi Fathallah,1,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116852,Tunis,Jebel Jelloud,Ali Bach-Hamba,3,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116853,Tunis,Jebel Jelloud,El Garjouma,2,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116854,Tunis,Jebel Jelloud,Cite El Fath,6,1,16.7,1,100.0,20.7,100.0,1,100.0,1,0,0,1,0,0,100.0,0.0,0.0,0
TN116855,Tunis,Jebel Jelloud,Es-Sebkha,1,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116856,Tunis,Jebel Jelloud,El Afrane,2,1,50.0,0,0.0,0.0,79.3,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
TN116857,Tunis,Jebel Jelloud,Djebel Djeloud,3,1,33.3,1,100.0,20.7,100.0,1,100.0,1,0,0,1,0,0,100.0,0.0,0.0,0
TN116951,Tunis,La Goulette,La Goulette,8,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116952,Tunis,La Goulette,La Goulette Casino,1,0,0.0,0,,,,0,,0,0,0,0,0,0,,,,0
TN116953,Tunis,La Goulette,Kheireddine,3,3,100.0,1,33.3,6.1,79.2,1,33.3,1,0,0,1,0,0,33.3,0.0,0.0,0
TN116954,Tunis,La Goulette,Taieb Mhiri,20,4,20.0,2,50.0,15.0,85.0,2,50.0,2,0,0,2,0,0,50.0,0.0,0.0,0
